Sector	Latitude	Longitude	Azimuth	LAC	CI	Keywords
1232	19.0177	72.8586	200	27911	1232	BSC26
1233	19.0177	72.8586	330	27911	1233	BSC26
1241	18.9932	72.8449	90	27009	1241	BSC70
1242	18.9932	72.8449	210	27009	1242	BSC70
1243	18.9932	72.8449	330	27009	1243	BSC70
1251	19.0247	72.8397	355	25007	1251	BSC03
1252	19.0247	72.8397	95	25007	1252	BSC03
1253	19.0247	72.8397	195	25007	1253	BSC03
1261	19.00249	72.83898	120	27009	1261	BSC70
1262	19.00249	72.83898	210	27009	1262	BSC70
1263	19.00249	72.83898	330	27009	1263	BSC70
1271	19.2608	72.8625	10	21051	1271	BSC72
1272	19.2608	72.8625	110	21051	1272	BSC72
1273	19.2608	72.8625	250	21051	1273	BSC72
